Gemeindename,Median Einkommen,Ergänzungsleistungen in % zu Median,Einkommen aus Vermögenserträgen,Frei verfügbares Einkommen,Kanton,Id,12500,15000,17500,20000,25000,30000,35000,40000,45000,50000,60000,70000,80000,90000,100000,125000,150000,175000,200000,250000,300000,400000,500000,1000000,Total Aktiven,Finanzvermögen¹,Verwaltungsvermögen,Total Passiven,Fremdkapital,Eigenkapital,Spezielfinanzierung EK,Fond im EK,Aufwertungsreserven,überiges Eigentkapital,Bilanzüberschuss,score,score_normalized,rank
Ebikon,93318.0,4.9,0.0,31529.0,LU,1054,0.4,0.5708333333333333,0.9178571428571428,1.403125,3.605,5.591666666666667,7.0964285714285715,8.0375,8.727777777777778,9.317499999999999,10.452083333333333,11.235714285714286,11.8703125,12.363888888888889,12.740000000000002,13.423750000000002,14.008333333333333,14.527142857142858,14.982343749999998,15.835175000000001,16.436729166666666,17.188671875,17.6354875,18.53781875,133422241,68975340,64446901,133422241,97323051,36099190,9287839,483812,4840801,0,21486737,9146446,0.9124958811614216,21.0
Sempach,118596.0,1.6,3.4,38430.0,LU,1102,0.4,0.5746333333333332,0.9279714285714286,1.4215749999999998,3.65948,5.678466666666666,7.207685714285714,8.1641,8.865644444444442,9.464979999999999,10.617983333333331,11.414342857142856,12.059237499999998,12.560822222222221,12.94304,13.63789,14.231933333333332,14.759120000000001,15.221661249999999,16.0882178,16.699450166666665,17.463490625,17.9174953,18.83434385,60364911,26574248,33790664,60364911,25782314,34582598,13828904,1315943,0,0,19437750,8779937,0.8759310828880167,22.0
Schüpfheim,92676.0,4.3,0.7,31061.0,LU,1008,0.4,0.6031333333333333,1.0038285714285713,1.55995,4.068079999999999,6.329466666666667,8.042114285714286,9.1136,9.899644444444444,10.571079999999998,11.862233333333332,12.754057142857143,13.476174999999998,14.037822222222221,14.46584,15.24394,15.908933333333334,16.49894857142857,17.0165425,17.9860388,18.669857666666665,19.52463125,20.0325538,20.207639999999998,60726799,13978823,46747976,60726799,26243906,34482893,12594342,1044436,0,0,20844115,8742050,0.8721512834501189,23.0
Adligenswil,113964.0,1.9,6.8,38350.0,LU,1051,0.4,0.582075,0.9477785714285715,1.45770625,3.76617,5.848450000000001,7.4255642857142865,8.412025,9.135633333333333,9.753795,10.942870833333334,11.764157142857142,12.429215625000003,12.946483333333333,13.340659999999998,14.0572475,14.66981666666667,15.213408571428571,15.690324687500002,16.58375995,17.21394545833333,18.001677343750004,18.469760575000002,19.415038837500003,76818669,40621889,36196780,76818669,43315758,33502911,6979702,299028,0,0,26224182,8507699,0.8487712381028812,24.0
Buttisholz,108511.0,2.1,1.3,34279.0,LU,1083,0.4,0.5898333333333333,0.9684285714285714,1.495375,3.8773999999999997,6.025666666666666,7.652714285714285,8.670499999999999,9.417111111111112,10.0549,11.281583333333332,12.128857142857141,12.814937499999997,13.348555555555555,13.755199999999999,14.49445,15.126333333333333,15.687028571428572,16.17893125,17.100389000000003,17.750334166666665,18.562765625,19.0455265,20.020444249999997,53102722,22115367,30987355,53102722,20504193,32598529,8106181,144993,9159374,0,15187982,8278877,0.8259427938613564,25.0
Buchrain,109816.0,3.7,0.0,35999.0,LU,1052,0.4,0.5784333333333334,0.9380857142857144,1.4400249999999999,3.71396,5.765266666666667,7.318942857142857,8.290700000000001,9.003511111111111,9.61246,10.783883333333332,11.59297142857143,12.248162500000001,12.757755555555555,13.14608,13.852030000000001,14.455533333333333,14.991097142857143,15.46097875,16.341260600000002,16.962171166666668,17.738309375,18.1995031,19.13086895,67659208,31111728,36547480,67659208,35568282,32090925,10286377,545550,6547755,0,14711243,8152629,0.8133476525348928,26.0
Vitznau,92127.0,2.2,1.1,31637.0,LU,1068,0.4,0.5486666666666666,0.858857142857143,1.2955,3.2872,5.085333333333334,6.447428571428571,7.2989999999999995,7.923555555555556,8.4572,9.484333333333332,10.193714285714286,10.76825,11.215111111111112,11.5556,12.1746,12.703999999999999,13.173942857142857,13.586324999999999,14.359092,14.90419,15.5855625,15.990442000000002,16.808089,46920875,25544335,21376539,46920875,14795329,32125546,2838341,699956,0,0,28587249,8152441,0.8133288967005875,27.0
Ruswil,101394.0,3.3,0.5,33046.0,LU,1098,0.4,0.5955333333333335,0.9836000000000001,1.52305,3.95912,6.155866666666667,7.819600000000001,8.8604,9.623911111111113,10.27612,11.530433333333336,12.396800000000002,13.098325000000003,13.643955555555557,14.059760000000002,14.81566,15.461733333333335,16.034994285714287,16.537907500000003,17.479953200000004,18.144415666666667,18.974993750000003,19.468538200000005,20.207639999999998,71851883,19264806,52587078,71851883,39782471,32069413,9155156,438817,7956821,0,14518619,8143039,0.8123909054551703,28.0
Entlebuch,87026.0,3.2,0.1,30160.0,LU,1002,0.4,0.5993333333333334,0.9937142857142858,1.5415,4.0136,6.2426666666666675,7.9308571428571435,8.987,9.761777777777777,10.4236,11.696333333333333,12.575428571428574,13.28725,13.840888888888891,14.2628,15.029799999999998,15.685333333333334,16.266971428571427,16.777225,17.732996,18.407136666666666,19.2498125,19.750546000000003,20.207639999999998,53758880,22117669,31641211,53758880,23986957,29771923,6042827,1641938,5972778,0,16114380,7561483,0.7543719268634079,29.0
Rickenbach,97952.0,3.3,1.0,31134.0,LU,1097,0.4,0.5961666666666667,0.9852857142857144,1.526125,3.9682000000000004,6.170333333333334,7.838142857142858,8.8815,9.64688888888889,10.3007,11.558083333333334,12.426571428571428,13.129812500000002,13.67677777777778,14.0936,14.85135,15.499000000000002,16.073657142857144,16.57779375,17.522127,18.1882025,19.020796875000002,19.515539500000003,20.207639999999998,46142157,14836289,31305868,46142157,18030974,28111184,9034184,45021,6933183,0,12098795,7151761,0.7134959803568391,30.0
Zell,95525.0,4.0,0.1,29341.0,LU,1150,0.4,0.5911000000000001,0.9717999999999999,1.501525,3.8955600000000006,6.054600000000001,7.689800000000001,8.712700000000002,9.463066666666666,10.10406,11.336883333333333,12.188400000000001,12.877912499999999,13.414200000000001,13.822880000000001,14.565830000000002,15.200866666666668,15.764354285714289,16.25870375,17.184736600000004,17.837907833333333,18.654371875,19.1395291,20.119285950000002,40675624,10877106,29798518,40675624,12606492,28069132,14053813,62901,5597558,0,8354860,7140035,0.7123261350745843,31.0
Flühli,82205.0,3.8,0.3,27759.0,LU,1004,0.4,0.5930000000000001,0.976857142857143,1.51075,3.9228000000000005,6.098000000000002,7.745428571428572,8.776000000000002,9.532000000000002,10.177800000000001,11.419833333333335,12.277714285714287,12.972375000000003,13.512666666666668,13.9244,14.672900000000002,15.312666666666669,15.88034285714286,16.3783625,17.311258000000006,17.969268333333336,18.791781250000003,19.280533000000005,20.207639999999998,31238324,16236598,15001726,31238324,3430354,27807970,13507772,1499929,3677387,0,9122883,7068084,0.7051479380846883,32.0
Triengen,102533.0,3.2,0.4,32610.0,LU,1104,0.4,0.5521499999999999,0.8681285714285715,1.3124125,3.3371399999999998,5.1649,6.5494142857142865,7.415049999999999,8.049933333333334,8.59239,9.636408333333334,10.357457142857143,10.94143125,11.395633333333333,11.74172,12.370894999999999,12.908966666666666,13.38658857142857,13.805699375,14.591047900000001,15.145017583333331,15.8374796875,16.24894915,17.079903675,49230574,20427309,28803265,49230574,22854504,26376070,7044929,14626,6237417,0,13079099,6720275,0.670448746734204,33.0
Schötz,96924.0,3.6,0.0,31392.0,LU,1143,0.4,0.5993333333333334,0.9937142857142858,1.5415,4.0136,6.2426666666666675,7.9308571428571435,8.987,9.761777777777777,10.4236,11.696333333333333,12.575428571428574,13.28725,13.840888888888891,14.2628,15.029799999999998,15.685333333333334,16.266971428571427,16.777225,17.732996,18.407136666666666,19.2498125,19.750546000000003,20.207639999999998,63047802,22103658,40944144,63047802,37122507,25925295,3460725,10146,0,0,22454424,6604775,0.6589258804455772,34.0
Oberkirch,119606.0,1.8,1.6,40951.0,LU,1095,0.4,0.5518333333333334,0.8672857142857143,1.310875,3.3326000000000002,5.1576666666666675,6.540142857142858,7.4045,8.038444444444446,8.5801,9.622583333333333,10.342571428571429,10.925687500000002,11.379222222222223,11.7248,12.35305,12.890333333333334,13.367257142857145,13.78575625,14.569961000000001,15.123124166666665,15.814578125,16.2254485,17.055193250000002,64682920,29293540,35389379,64682920,39742271,24940649,4262790,1548328,2259445,0,16870085,6369956,0.6354991450427285,35.0
Menznau,93306.0,3.7,0.0,29924.0,LU,1136,0.4,0.6246666666666667,1.0611428571428572,1.6645,4.3768,6.821333333333335,8.67257142857143,9.831000000000001,10.680888888888889,11.406800000000002,12.802333333333335,13.766285714285717,14.546750000000003,15.15377777777778,15.616400000000002,16.457400000000003,17.176000000000002,17.813485714285715,18.372675,19.419948000000005,19.813200000000002,19.9557,20.03664,20.207639999999998,34851171,10458402,24392770,34851171,10908650,23942521,10244137,8100,0,0,13690284,6107271,0.6092923560295,36.0
Nottwil,111955.0,2.4,0.7,36017.0,LU,1094,0.4,0.5790666666666667,0.9397714285714285,1.4430999999999998,3.7230399999999997,5.779733333333333,7.337485714285714,8.3118,9.02648888888889,9.637039999999999,10.811533333333333,11.622742857142859,12.279649999999998,12.790577777777779,13.179920000000001,13.887719999999998,14.4928,15.029759999999998,15.500865,16.383434400000002,17.005958,17.7841125,18.2465044,19.1802898,63405593,21304903,42100690,63405593,39525909,23879685,7375195,45043,2338045,0,14121401,6100888,0.6086555555488048,37.0
Udligenswil,123309.0,1.6,7.8,40306.0,LU,1067,0.4,0.5771666666666666,0.9347142857142856,1.433875,3.6957999999999998,5.736333333333333,7.281857142857142,8.248499999999998,8.957555555555555,9.5633,10.728583333333333,11.533428571428571,12.1851875,12.69211111111111,13.078399999999998,13.78065,14.380999999999997,14.91377142857143,15.381206249999998,16.256913,16.8745975,17.646703125,18.105500499999998,19.03202725,44998575,24548059,20450516,44998575,21864104,23134471,6636472,392549,2632926,0,13472524,5920262,0.5906353889146102,38.0
Reiden,88881.0,3.5,0.0,29738.0,LU,1140,0.4,0.6025,1.0021428571428572,1.556875,4.059,6.3149999999999995,8.023571428571428,9.092500000000001,9.876666666666667,10.5465,11.834583333333333,12.724285714285713,13.444687499999999,14.005,14.432,15.208250000000001,15.871666666666668,16.460285714285714,16.976656249999998,17.943865000000002,18.62607083333333,19.478828125,19.985552500000004,20.207639999999998,80544934,26847043,53697891,80544934,58101205,22443729,3938980,157215,0,0,18347534,5730361,0.5716899011996621,39.0
Altishofen,103200.0,2.2,0.5,32644.0,LU,1123,0.4,0.5695666666666667,0.9144857142857143,1.396975,3.586840000000001,5.562733333333334,7.059342857142859,7.995300000000001,8.681822222222223,9.26834,10.396783333333333,11.176171428571429,11.807337500000001,12.298244444444446,12.672320000000001,13.352370000000002,13.933800000000002,14.449817142857146,14.902571250000001,15.750827400000004,16.349155500000002,17.097065625000003,17.5414849,18.438977050000002,27343168,13569690,13773478,27343168,6820858,20522311,4876009,56841,4775488,0,10813973,5257168,0.5244817655484577,40.0
Büron,100634.0,3.9,0.0,31208.0,LU,1082,0.4,0.6040833333333334,1.006357142857143,1.5645625,4.0817000000000005,6.351166666666668,8.069928571428573,9.14525,9.934111111111111,10.60795,11.903708333333334,12.798714285714286,13.52340625,14.087055555555555,14.516600000000002,15.297474999999999,15.964833333333337,16.556942857142857,17.076371875000003,18.0492995,18.735537916666665,19.5933359375,20.03664,20.207639999999998,29638357,15790680,13847677,29638357,9401704,20236653,9508430,60497,1095408,0,9572319,5184469,0.5172289442816449,41.0
Grosswangen,99400.0,2.4,0.3,32960.0,LU,1086,0.4,0.5803333333333333,0.9431428571428572,1.4492500000000001,3.7412,5.808666666666666,7.3745714285714286,8.354000000000001,9.072444444444445,9.6862,10.866833333333332,11.682285714285713,12.342625,12.856222222222222,13.2476,13.9591,14.567333333333332,15.107085714285711,15.5806375,16.467782,17.093531666666664,17.87571875,18.340507,19.2791315,38870697,15100776,23769921,38870697,19069325,19801372,4586994,51247,1797037,0,13366094,5075033,0.5063110534144403,42.0
Hergiswil,93052.0,3.2,0.0,27315.0,LU,1132,0.4,0.6025,1.0021428571428572,1.556875,4.059,6.3149999999999995,8.023571428571428,9.092500000000001,9.876666666666667,10.5465,11.834583333333333,12.724285714285713,13.444687499999999,14.005,14.432,15.208250000000001,15.871666666666668,16.460285714285714,16.976656249999998,17.943865000000002,18.62607083333333,19.478828125,19.985552500000004,20.207639999999998,31292514,12135751,19156762,31292514,12381295,18911219,10552814,80239,0,0,8278165,4849319,0.48379267902940926,43.0
Hohenrain,109345.0,1.7,1.6,34885.0,LU,1032,0.4,0.6025,1.0021428571428572,1.556875,4.059,6.3149999999999995,8.023571428571428,9.092500000000001,9.876666666666667,10.5465,11.834583333333333,12.724285714285713,13.444687499999999,14.005,14.432,15.208250000000001,15.871666666666668,16.460285714285714,16.976656249999998,17.943865000000002,18.62607083333333,19.478828125,19.985552500000004,20.207639999999998,36227877,14513146,21714731,36227877,18014794,18213083,11295524,95779,0,0,6821779,4682932,0.4671930673136887,44.0
Wauwil,103176.0,3.6,0.9,34481.0,LU,1146,0.4,0.5898333333333333,0.9684285714285714,1.495375,3.8773999999999997,6.025666666666666,7.652714285714285,8.670499999999999,9.417111111111112,10.0549,11.281583333333332,12.128857142857141,12.814937499999997,13.348555555555555,13.755199999999999,14.49445,15.126333333333333,15.687028571428572,16.17893125,17.100389000000003,17.750334166666665,18.562765625,19.0455265,20.020444249999997,29580846,8757376,20823470,29580846,11987118,17593728,4804929,177929,0,0,12610870,4525009,0.45143786720201085,45.0
Inwil,111301.0,1.6,0.1,36431.0,LU,1033,0.4,0.5702,0.9161714285714286,1.4000499999999998,3.5959200000000004,5.5772,7.077885714285714,8.0164,8.7048,9.29292,10.424433333333335,11.205942857142858,11.838825000000002,12.331066666666668,12.70616,13.388060000000001,13.971066666666667,14.488480000000001,14.9424575,15.7930012,16.392942333333334,17.14286875,17.588486200000002,18.4883979,27066970,11452399,15614572,27066970,9846264,17220706,6073523,444401,1506144,0,9196638,4435817,0.4425396205352127,46.0
Ettiswil,101222.0,2.7,0.9,33562.0,LU,1128,0.4,0.5892,0.9667428571428571,1.4923000000000002,3.86832,6.0112000000000005,7.634171428571429,8.6494,9.394133333333333,10.03032,11.253933333333332,12.099085714285716,12.783449999999998,13.315733333333332,13.721360000000002,14.458760000000002,15.089066666666664,15.648365714285713,16.139045,17.058215200000003,17.706547333333333,18.5169625,18.998525200000003,19.9710234,27498562,7696540,19802022,27498562,10372244,17126319,5216688,332000,0,0,11577630,4407180,0.43968264805116597,47.0
Schwarzenberg,104059.0,2.0,5.1,33450.0,LU,1066,0.4,0.5993333333333334,0.9937142857142858,1.5415,4.0136,6.2426666666666675,7.9308571428571435,8.987,9.761777777777777,10.4236,11.696333333333333,12.575428571428574,13.28725,13.840888888888891,14.2628,15.029799999999998,15.685333333333334,16.266971428571427,16.777225,17.732996,18.407136666666666,19.2498125,19.750546000000003,20.207639999999998,25995294,9939258,16056036,25995294,10204437,15790857,8275958,8508,0,0,7506391,4074733,0.40651604779960687,48.0
Rain,121140.0,1.6,3.2,39397.0,LU,1037,0.4,0.5765333333333332,0.9330285714285714,1.4307999999999998,3.6867199999999998,5.721866666666667,7.263314285714285,8.2274,8.934577777777777,9.53872,10.700933333333333,11.503657142857142,12.153699999999999,12.659288888888886,13.044559999999999,13.74496,14.343733333333333,14.875108571428571,15.34132,16.2147392,16.830810666666665,17.600899999999996,18.0584992,18.982606399999998,51272154,36640455,14631698,51272154,35526066,15746088,4744277,28687,2159032,0,8814092,4072082,0.4062515705828869,49.0
Nebikon,100436.0,2.5,0.0,32818.0,LU,1137,0.4,0.5759,0.9313428571428571,1.427725,3.6776400000000002,5.7074,7.244771428571428,8.206299999999999,8.9116,9.51414,10.673283333333334,11.473885714285714,12.1222125,12.626466666666666,13.010720000000001,13.709270000000002,14.306466666666667,14.836445714285714,15.301433750000001,16.1725654,16.787023833333333,17.555096874999997,18.011497900000002,18.93318555,31731609,10878663,20852947,31731609,15965015,15766594,10321473,11550,2254429,0,3179141,4066856,0.4057301982952301,50.0
