Gemeindename,Total Anzahl Personen Sozialhilfe,Total Anzahl Dossiers,Total Sozialhilfequote,Total Sozialhilfequote Schweizer,Total Sozialhilfequote Ausländer,Alter 0-17,Alter 18-64,Alter 65+,obligatorische Schule,sekundarstufe I,tertiärstufe,Total Anzahl Unfälle 2021,Personenschaden absolut mit Personenschaden,Personenschaden pro 1000 Einwohner,Durchschnitt Anzahl 2017-2021,Total Verunfallte Personen,davon getötete Personen,davon verletze Personen,Lenker/innen,Mitfahrer/innen,Fussgänger/innen,Fahrzeugähnliche Geräte,Score,Rank
Hohenrain,11.0,8.0,0.5,0.5,0.0,0.4,0.5,0.3,0.0,0.0,0.0,16.0,9,3.7,5.0,9.0,0,9,9,0,0,0,17.5,28.0
Horw,351.0,231.0,2.5,1.6,6.4,4.3,2.7,0.4,6.7,1.5,0.3,61.0,25,1.7,23.0,29.0,0,29,27,1,1,0,140.0,62.0
Inwil,17.0,15.0,0.6,0.6,1.1,0.3,0.8,0.3,0.0,0.0,0.0,38.0,14,5.0,13.0,23.0,0,23,18,5,0,0,40.5,49.0
Knutwil,12.0,9.0,0.5,0.3,2.6,0.7,0.6,0.0,0.0,0.0,0.0,24.0,7,3.0,10.0,7.0,0,7,6,1,0,0,20.25,30.0
Kriens,1004.0,590.0,3.6,2.0,9.8,7.3,3.7,0.1,7.3,1.9,0.5,141.0,55,1.9,53.0,73.0,0,73,59,9,4,1,376.25,64.0
Luthern,16.0,8.0,1.3,1.2,3.4,2.3,1.3,0.0,0.0,0.0,0.0,4.0,2,1.6,2.0,4.0,0,4,2,2,0,0,9.0,14.0
Luzern,3598.0,2312.0,4.4,2.5,10.2,9.3,4.5,0.2,11.9,2.3,0.4,552.0,244,2.9,225.0,289.0,1,288,209,44,33,3,1392.25,66.0
Malters,131.0,87.0,1.8,1.3,5.0,2.5,1.9,0.3,3.0,1.5,0.1,30.0,13,1.7,13.0,13.0,0,13,11,0,2,0,57.5,55.0
Mauensee,11.0,5.0,0.7,0.3,4.8,1.8,0.5,0.5,0.0,0.0,0.0,6.0,4,2.6,2.0,10.0,0,10,7,3,0,0,13.25,23.0
Meggen,40.0,31.0,0.5,0.3,1.5,0.6,0.7,0.0,0.0,0.8,0.2,17.0,9,1.2,7.0,10.0,0,10,10,0,0,0,26.0,37.0
Meierskappel,11.0,7.0,0.7,0.4,2.6,1.2,0.8,0.0,0.0,0.0,0.0,2.0,1,0.6,1.0,1.0,0,1,0,1,0,0,4.5,7.0
Menznau,45.0,23.0,1.5,1.2,4.0,2.6,1.4,0.4,0.0,0.8,0.0,15.0,13,4.3,7.0,18.0,0,18,15,3,0,0,32.25,42.0
Nebikon,52.0,20.0,1.9,1.3,3.3,4.0,1.6,0.3,0.0,0.7,0.0,7.0,5,1.8,5.0,5.0,0,5,5,0,0,0,20.25,30.0
Neuenkirch,78.0,37.0,1.1,0.4,6.2,2.1,1.0,0.0,1.6,0.7,0.1,43.0,19,2.6,15.0,22.0,0,22,19,3,0,0,57.5,55.0
Nottwil,38.0,20.0,0.9,0.4,4.6,1.6,0.9,0.0,0.0,0.6,0.1,9.0,5,1.2,5.0,7.0,0,7,5,2,0,0,19.25,29.0
Oberkirch,53.0,30.0,1.1,0.3,7.2,1.9,1.0,0.1,0.0,0.3,0.1,15.0,8,1.6,8.0,9.0,1,8,7,1,1,0,27.5,39.0
Pfaffnau,53.0,39.0,2.0,1.8,3.2,3.0,2.2,0.0,0.0,0.0,0.0,14.0,7,2.6,7.0,7.0,1,6,6,0,1,0,25.5,36.0
Reiden,120.0,66.0,1.7,0.8,4.1,3.4,1.5,0.1,2.5,0.6,0.0,43.0,17,2.3,15.0,21.0,1,20,18,1,2,0,67.25,57.0
Rickenbach,75.0,51.0,2.2,1.2,6.4,2.8,2.4,0.4,0.0,1.6,0.1,17.0,8,2.3,5.0,11.0,0,11,9,2,0,0,35.5,45.0
Roggliswil,3.0,3.0,0.4,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,4.0,4,5.5,2.0,5.0,0,5,5,0,0,0,6.5,9.0
Römerswil,15.0,12.0,0.8,0.8,1.2,0.5,1.1,0.0,0.0,0.0,0.0,11.0,5,2.8,4.0,5.0,0,5,4,1,0,0,13.0,22.0
Root,132.0,74.0,2.5,1.8,4.3,4.4,2.3,0.6,0.0,1.3,0.6,22.0,5,0.9,8.0,6.0,0,6,3,1,2,0,48.5,52.0
Rothenburg,67.0,49.0,0.9,0.5,3.9,1.1,1.1,0.0,0.0,0.6,0.2,27.0,12,1.5,19.0,15.0,0,15,13,0,2,0,41.5,50.0
Ruswil,158.0,91.0,2.2,0.8,15.1,3.4,2.4,0.3,2.9,1.0,0.3,21.0,14,2.0,14.0,19.0,0,19,15,0,4,0,64.25,56.0
Schongau,7.0,3.0,0.7,0.1,7.4,1.4,0.6,0.0,0.0,0.0,0.0,7.0,5,4.7,3.0,5.0,0,5,5,0,0,0,9.0,14.0
