Gemeindename,Score,Total Anzahl Dossiers,Total Sozialhilfequote,Total Sozialhilfequote Schweizer,Total Sozialhilfequote Ausländer,Alter 0-17,Alter 18-64,Alter 65+,obligatorische Schule,sekundarstufe I,tertiärstufe,Personenschaden absolut mit Personenschaden,Personenschaden pro 1000 Einwohner,Durchschnitt Anzahl 2017-2021,davon getötete Personen,davon verletze Personen,Lenker/innen,Mitfahrer/innen,Fussgänger/innen,Fahrzeugähnliche Geräte,Rank,Longitude,Latitude,Distanz zu nächsten Prontoshop in km,Median Einkommen,Ergänzungsleistungen in % zu Median,Einkommen aus Vermögenserträgen,Frei verfügbares Einkommen,20000,100000,1000000,Total Aktiven,Finanzvermögen¹,Verwaltungsvermögen,Total Passiven,Fremdkapital,Eigenkapital,Spezielfinanzierung EK,Fond im EK,Aufwertungsreserven,überiges Eigentkapital,Bilanzüberschuss
Wauwil,0.8619141677141318,32.0,1.8,1.1,4.4,1.8,2.3,0.0,0.0,0.0,0.0,0,0.0,2.0,0,0,0,0,0,0,21.0,8.023,47.186,3.907967621997408,103176.0,3.6,0.9,34481.0,1.495375,13.7552,20.02044425,29580846,8757376,20823470,29580846,11987118,17593728,4804929,177929,0,0,12610870
Weggis,2.2804812354103072,27.0,0.8,0.5,1.5,1.2,1.0,0.0,0.0,0.2,0.2,8,1.8,7.0,1,12,10,2,1,0,41.0,8.434,47.033,6.730794493353197,104859.0,2.2,5.8,38009.0,1.292425,11.521760000000002,16.758668150000002,96256992,34225217,62031775,96256992,27992138,68264854,8341592,1476372,0,0,58446890
Werthenstein,1.1312623451247978,18.0,1.1,0.5,4.9,0.7,1.5,0.0,0.0,0.0,0.0,6,2.8,6.0,0,6,5,0,1,0,26.0,8.103,47.054,2.3659976346572202,90748.0,4.6,0.0,27937.0,1.5876249999999998,14.7704,20.20764,23840924,8850310,14990614,23840924,14778505,9062419,2677557,85647,-370846,0,6670061
Wikon,0.7541748967498654,20.0,2.2,1.1,7.4,4.0,2.3,0.0,0.0,0.0,0.0,1,0.7,1.0,0,1,1,0,0,0,18.0,7.967,47.263,6.077434071560127,96475.0,2.9,2.0,32790.0,1.495375,13.7552,20.02044425,16183492,11687386,4496105,16183492,9301946,6881546,1575942,99223,802111,0,4404270
Willisau,7.092835338480877,133.0,2.6,1.3,11.5,4.9,2.7,0.1,4.6,1.5,0.1,20,2.2,23.0,0,25,18,5,2,0,60.0,7.99,47.12,9.114001158723129,89488.0,4.3,0.0,30033.0,1.519975,14.02592,20.20764,135910079,62571945,73338134,135910079,73513074,62397005,37105464,2491423,2812692,0,19987427
Wolhusen,3.6092655773029274,89.0,3.8,1.5,12.3,6.7,3.8,0.0,0.0,2.3,0.0,3,0.7,9.0,0,5,3,2,0,0,53.0,8.075,47.06,0.15577681676495936,89510.0,5.6,0.0,28739.0,1.5876249999999998,14.7704,20.20764,60034935,22290678,37744257,60034935,49182543,10852392,6393726,33253,-1711165,0,6136578
Zell,1.6699586999461304,24.0,2.4,1.5,7.8,4.4,2.4,0.0,0.0,0.0,0.0,5,2.4,4.0,0,5,5,0,0,0,34.0,7.923,47.14,9.04905006507179,95525.0,4.0,0.1,29341.0,1.501525,13.82288,20.11928595,40675624,10877106,29798518,40675624,12606492,28069132,14053813,62901,5597558,0,8354860
Doppleschwand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,8.055,47.019,4.869099152975056,92314.0,2.5,2.7,31069.0,1.6030000000000002,14.9396,20.20764,10296396,3170088,7126309,10296396,5676034,4620362,2032724,96632,0,0,2491006
Eich,0.7900879870712875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2.5,7.0,0,6,6,0,0,0,19.0,8.17,47.153,2.8605631319366376,133521.0,0.8,8.6,47687.0,1.267825,11.25104,16.36330135,24618093,13280827,11337266,24618093,13740782,10877310,2995756,3790,902429,0,6975336
Honau,0.0897827258035554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,1.0,0,1,1,0,0,0,2.0,8.406,47.133,2.679949137495355,128478.0,1.3,4.9,44433.0,1.4000499999999998,12.70616,18.4883979,5414822,5369088,45734,5414822,2694182,2720640,1765375,163816,0,0,791449
Rain,1.4903932483390196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4.1,5.0,0,17,11,4,2,0,31.0,8.263,47.13,4.455347694761733,121140.0,1.6,3.2,39397.0,1.4307999999999998,13.04456,18.9826064,51272154,36640455,14631698,51272154,35526066,15746088,4744277,28687,2159032,0,8814092
Romoos,0.1616089064463997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,8.024,47.011,6.700320302925661,77534.0,3.8,0.0,24193.0,1.556875,14.432,20.20764,7584044,2402308,5181736,7584044,1241493,6342551,579826,204486,1365246,0,4192993
Schenkon,1.4903932483390196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2.9,11.0,0,11,8,1,2,0,31.0,8.136,47.173,2.413216494077473,128632.0,0.9,2.9,45081.0,1.1878749999999998,10.371199999999998,15.07835925,81874677,50773750,31100927,81874677,42945796,38928881,4491128,1023992,7130196,0,26283564
Schlierbach,0.2513916322499551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.2,1.0,0,2,2,0,0,0,5.0,8.11,47.226,5.971544467486194,120450.0,0.9,7.9,38064.0,1.3954375,12.6554,18.414266625,12175561,6084253,6091308,12175561,9429405,2746155,388231,72427,0,0,2285497
